"website"	"crawled"	"place_id"	"lat"	"id"	"formatted_address"	"emails"	"country"	"note"	"rating"	"city"	"rated"	"name"	"types"	"called"	"formatted_phone_number"	"lng"	"mailed"	"international_phone_number"
"http://www.salon-beige.de/"	"True"	"ChIJY32W7OhRqEcR2vmvgjRo5vg"	52.526213	1	"Auguststraße 83, Berlin, Germany"	"['oli@salon-beige.de']"	"DE"			"Berlin"		"Salon Beige"	"['hair_care', 'establishment']"	0	"030 27594051"	13.392113	0	"+49 30 27594051"
"http://www.maccas.de/"	"True"	"ChIJSViCyOJQqEcRi4vh0GMcbVs"	52.507119	2	"Knesebeckstraße 20, Berlin-Charlottenburg, Deutschland"	"['info@maccas.de']"	"DE"			"Berlin"	1	"Maccas Haircouture"	"['hair_care', 'establishment']"	0	"030 54710880"	13.322344	0	"+49 30 54710880"
"http://www.schoenberlin.com/"	"True"	"ChIJU-UoYOBRqEcR7oCc6A1lYHQ"	52.522431	3	"An der Spandauer Brücke 11, Berlin, Germany"	"[]"	"DE"			"Berlin"	1	"schönBERLIN Aveda Lifestyle Salon & Spa"	"['beauty_salon', 'store', 'spa', 'hair_care', 'establishment']"	0	"030 28484780"	13.404034	0	"+49 30 28484780"
"http://www.salon-buckwitz.de/"	"True"	"ChIJva-uV11OqEcRFpxROvmsPdg"	52.515823	4	"Karl-Marx-Allee 136, Berlin, Germany"	"['info@salon-buckwitz.de', 'buckwitz@live.de', 'maxi-buckwitz@t-online.de', 'info@werbedesign-neumann.de']"	"DE"			"Berlin"	2	"Salon Buckwitz"	"['hair_care', 'establishment']"	0	"030 29667989"	13.4514	0	"+49 30 29667989"
"http://www.salonsucre.de/"	"True"	"ChIJ4bPEK1NOqEcR_SwBIKecCPw"	52.495344	5	"Görlitzer Straße 32a, Berlin, Germany"	"['info@designerdock.de']"	"DE"		4	"Berlin"	11	"Barcellos Salon Sucré"	"['store', 'cafe', 'food', 'hair_care', 'establishment']"	0	"030 6122713"	13.444661	0	"+49 30 6122713"
"http://www.salon-buckwitz.de/"	"True"	"ChIJg3MViOlNqEcR-9g0PD6pLoE"	52.55394	6	"Schönstraße 10, Berlin, Germany"	"['info@salon-buckwitz.de', 'buckwitz@live.de', 'maxi-buckwitz@t-online.de', 'info@werbedesign-neumann.de']"	"DE"			"Berlin"		"Salon Buckwitz"	"['hair_care', 'establishment']"	0	"030 92093909"	13.451315	0	"+49 30 92093909"
"http://www.bm-friseure.de/"	"True"	"ChIJp3AuInVRqEcRCu82Yr-qldU"	52.52935	7	"Lübecker Straße 19, Berlin, Germany"	"['info@bm-friseure.de', 'kunde@bm-friseure.de', 'info@kaiserschnitt-berlin.de']"	"DE"			"Berlin"	4	"Bjoern Mentler Friseure Berlin"	"['hair_care', 'establishment']"	0	"030 30208720"	13.345494	0	"+49 30 30208720"
"http://www.aveda.de"	"True"	"ChIJFb4qB_xQqEcR3SGsDvIaSQQ"	52.503377	8	"Kurfürstendamm 26 A, Berlin, Germany"	"['Anna@web.de', 'Anna@hotmail.de', 'ConsumerCommunications-AVDE@aveda.com', 'Center@SanTan', 'kundenservice@cs.de.aveda.com', '-Meridian@Cool', 'Kundenservice@de.aveda.com', 'Consumercare-DE@gcc.aveda.com', 'kundenservice@de.aveda.com', 'leopold.vongerlach@lovells.com']"	"DE"			"Berlin"		"Aveda Lifestyle Salon & Spa"	"['beauty_salon', 'store', 'spa', 'hair_care', 'establishment']"	0	"030 88708790"	13.328278	0	"+49 30 88708790"
	"True"	"ChIJKeW1L0xOqEcRoZhjU6zLqZY"	52.500606	9	"Skalitzer Straße 83, Berlin, Germany"		"DE"		4.4	"Berlin"	15	"(L') Atelier Friseur Hairdresser / hair salon"	"['hair_care', 'establishment']"	0	"030 61671843"	13.43854	0	"+49 30 61671843"
"http://www.neoberlin.com/"	"True"	"ChIJW5h0qf9RqEcRppPqWT_3e0o"	52.53999	10	"Schönhauser Allee 42, Berlin, Germany"	"['salon@neoberlin.com']"	"DE"			"Berlin"	1	"NeoBerlin Salon"	"['hair_care', 'establishment']"	0	"030 24628612"	13.41294	0	"+49 30 24628612"
